"SalePrice","YearBuilt","YrSold","MonthSold","Size.sqf.","Floor","HallwayType","HeatingType","AptManageType","N_Parkinglot.Ground.","N_Parkinglot.Basement.","TimeToBusStop","TimeToSubway","N_APT","N_manager","N_elevators","SubwayStation","N_FacilitiesNearBy.PublicOffice.","N_FacilitiesNearBy.Hospital.","N_FacilitiesNearBy.Dpartmentstore.","N_FacilitiesNearBy.Mall.","N_FacilitiesNearBy.ETC.","N_FacilitiesNearBy.Park.","N_SchoolNearBy.Elementary.","N_SchoolNearBy.Middle.","N_SchoolNearBy.High.","N_SchoolNearBy.University.","N_FacilitiesInApt","N_FacilitiesNearBy.Total.","N_SchoolNearBy.Total.","Size.p.","Price.per.Size","DateSold","DateBuilt","Prob_elevators"
141592,2006,2007,8,814,3,"terraced","individual_heating","management_in_trust",111,184,"10min~15min","5min~10min",3,3,0,"Kyungbuk_uni_hospital",2,1,1,1,1,0,3,2,2,2,5,6,9,23,6156.17391304348,2007-08-01,2006-01-01,0.0666666666666667
51327,1985,2007,8,587,8,"corridor","individual_heating","self_management",80,76,"0~5min","15min~20min",1,2,2,"Daegu",5,1,2,1,2,1,2,1,1,0,3,12,4,16,3207.9375,2007-08-01,1985-01-01,2.2
48672,1985,2007,8,587,6,"corridor","individual_heating","self_management",80,76,"0~5min","15min~20min",1,2,2,"Daegu",5,1,2,1,2,1,2,1,1,0,3,12,4,16,3042,2007-08-01,1985-01-01,2.2
380530,2006,2007,8,2056,8,"terraced","individual_heating","management_in_trust",249,536,"0~5min","0~5min",6,5,11,"Sin-nam",1,1,0,1,0,0,2,2,1,2,5,3,7,58,6560.86206896552,2007-08-01,2006-01-01,1.86666666666667
221238,1993,2007,8,1761,3,"mixed","individual_heating","management_in_trust",523,536,"0~5min","10min~15min",8,8,20,"Myung-duk",6,2,0,1,5,0,4,3,5,5,4,14,17,49,4515.0612244898,2007-08-01,1993-01-01,2.525
35840,1992,2007,8,355,5,"corridor","individual_heating","management_in_trust",200,0,"10min~15min","5min~10min",3,5,10,"Myung-duk",7,1,1,1,5,1,4,3,5,5,3,16,17,10,3584,2007-08-01,1992-01-01,3.4
78318,1992,2007,8,644,2,"mixed","individual_heating","self_management",142,79,"10min~15min","10min~15min",3,4,8,"Myung-duk",5,1,1,1,1,0,3,3,4,4,3,9,14,18,4351,2007-08-01,1992-01-01,2.73333333333333
61946,1993,2007,8,644,10,"mixed","individual_heating","management_in_trust",523,536,"0~5min","10min~15min",8,8,20,"Myung-duk",6,2,0,1,5,0,4,3,5,5,4,14,17,18,3441.44444444444,2007-08-01,1993-01-01,2.525
84070,1993,2007,8,644,3,"mixed","individual_heating","management_in_trust",523,536,"0~5min","10min~15min",8,8,20,"Myung-duk",6,2,0,1,5,0,4,3,5,5,4,14,17,18,4670.55555555556,2007-08-01,1993-01-01,2.525
83185,1992,2007,8,644,13,"mixed","individual_heating","self_management",142,79,"10min~15min","10min~15min",3,4,8,"Myung-duk",5,1,1,1,1,0,3,3,4,4,3,9,14,18,4621.38888888889,2007-08-01,1992-01-01,2.73333333333333
168141,1986,2007,8,1377,4,"terraced","central_heating","management_in_trust",713,0,"0~5min","5min~10min",7,8,27,"Kyungbuk_uni_hospital",5,1,1,0,1,1,3,1,1,1,4,9,6,39,4311.30769230769,2007-08-01,1986-01-01,3.88571428571429
153982,1986,2007,8,914,11,"terraced","central_heating","management_in_trust",713,0,"0~5min","5min~10min",7,8,27,"Kyungbuk_uni_hospital",5,1,1,0,1,1,3,1,1,1,4,9,6,26,5922.38461538462,2007-08-01,1986-01-01,3.88571428571429
200884,2007,2007,8,868,18,"terraced","individual_heating","management_in_trust",0,1270,"0~5min","0~5min",7,14,16,"Kyungbuk_uni_hospital",3,1,2,1,0,2,3,3,2,2,10,9,10,24,8370.16666666667,2007-08-01,2007-01-01,2.31428571428571
60176,1985,2007,9,587,7,"corridor","individual_heating","self_management",80,76,"0~5min","15min~20min",1,2,2,"Daegu",5,1,2,1,2,1,2,1,1,0,3,12,4,16,3761,2007-09-01,1985-01-01,2.2
93362,1986,2007,9,910,7,"corridor","individual_heating","management_in_trust",100,18,"0~5min","15min~20min",1,1,2,"Sin-nam",5,1,2,1,1,1,6,2,3,2,3,11,13,26,3590.84615384615,2007-09-01,1986-01-01,2.2
185840,1993,2007,9,1288,24,"mixed","individual_heating","management_in_trust",523,536,"0~5min","10min~15min",8,8,20,"Myung-duk",6,2,0,1,5,0,4,3,5,5,4,14,17,36,5162.22222222222,2007-09-01,1993-01-01,2.525
120796,1993,2007,9,914,2,"mixed","individual_heating","management_in_trust",523,536,"0~5min","10min~15min",8,8,20,"Myung-duk",6,2,0,1,5,0,4,3,5,5,4,14,17,26,4646,2007-09-01,1993-01-01,2.525
64601,1992,2007,9,576,5,"corridor","individual_heating","management_in_trust",200,0,"10min~15min","5min~10min",3,5,10,"Myung-duk",7,1,1,1,5,1,4,3,5,5,3,16,17,16,4037.5625,2007-09-01,1992-01-01,3.4
176991,1993,2007,9,1451,1,"mixed","individual_heating","management_in_trust",523,536,"0~5min","10min~15min",8,8,20,"Myung-duk",6,2,0,1,5,0,4,3,5,5,4,14,17,41,4316.85365853659,2007-09-01,1993-01-01,2.525
55752,1992,2007,9,576,1,"corridor","individual_heating","management_in_trust",200,0,"10min~15min","5min~10min",3,5,10,"Myung-duk",7,1,1,1,5,1,4,3,5,5,3,16,17,16,3484.5,2007-09-01,1992-01-01,3.4
38053,1992,2007,9,355,3,"corridor","individual_heating","management_in_trust",200,0,"10min~15min","5min~10min",3,5,10,"Myung-duk",7,1,1,1,5,1,4,3,5,5,3,16,17,10,3805.3,2007-09-01,1992-01-01,3.4
